,item_category_id,median_total_items_sold_peritemcat,highest_total_items_sold_peritemcat,lowest_total_items_sold_peritemcat,median_no_of_items_peritemcat,highest_no_of_items_peritemcat,lowest_no_of_items_peritemcat,median_sales_peritemcat,highest_sales_peritemcat,lowest_sales_per_month,median_total_returned_items_peritemcat
0,0,1.0,1.0,1.0,1.0,1,1,93.0,148.0,22.4,0.0
1,1,1.0,1.0,1.0,1.0,1,1,215.5,283.0,148.0,0.0
2,2,494.0,2126.0,81.0,480.0,1760,80,1095332.5499999998,4127846.249999992,232133.75,-3.0
3,3,740.5,2855.0,136.0,710.5,1997,120,1881207.3599999947,6354302.750000001,69141.2,-4.0
4,4,46.0,246.0,1.0,46.0,233,1,14423.0,227731.0,58.0,-1.0
5,5,197.5,631.0,31.0,194.0,586,32,145550.7,612902.0700000006,19768.0,-1.0
6,6,605.5,1336.0,231.0,563.5,1047,220,1043898.2999999998,2641228.20000001,573279.35,-3.0
7,7,243.5,1652.0,178.0,228.5,1089,132,672037.4550000001,4520283.19999999,383574.68,-2.0
8,8,170.0,5202.0,-1.0,69.0,943,1,191600.0,7346289.999999114,-1500.0,-1.0
9,9,378.5,2524.0,83.0,58.0,112,35,161150.49999999447,481861.99999971804,60887.000000002,-4.0
10,10,1.0,1.0,1.0,1.0,1,1,1998.0,1998.0,1998.0,0.0
11,11,145.0,867.0,6.0,141.5,727,6,1852195.275,9465736.4999998,62280.0,-1.0
12,12,363.0,1980.0,72.0,272.5,856,76,8111699.45000005,45921936.9999976,2104981.9800000004,-2.0
13,13,5.0,84.0,1.0,7.0,81,1,19857.5,412803.77,698.0,-1.0
14,14,87.0,436.0,1.0,87.0,377,2,803872.4500000001,3293376.4000000004,7698.0,-1.5
15,15,151.5,597.0,30.0,147.5,451,30,1745328.4749999992,7073831.5,501716.0,-1.0
16,16,71.5,1001.0,42.0,68.0,715,43,1673927.375,17384793.74999868,73310.0,-1.0
17,17,17.0,68.0,1.0,17.0,69,1,43447.0,181675.0,1290.0,-2.0
18,18,1.5,3.0,1.0,1.5,3,1,597.0,1258.2,84.0,0.0
19,19,6649.5,18645.0,2389.0,6038.5,11944,2294,10194133.395000044,36857194.60000052,4069162.969999999,-23.0
20,20,4665.0,12618.0,1802.0,3150.0,7250,451,12738036.244999962,38466772.66999861,4872118.2,-16.5
21,21,639.0,3410.0,94.0,639.5,3171,94,364451.33999999985,2065049.2599999981,62411.26,-4.5
